"student_id","biggest_challenge","theme"
"S0006","My salary was delayed several times, which made everything harder. On top of that, I don't know many people in my department. It has been a difficult year.","Finances"
"S0007","The amount of data collection for my project is overwhelming. I hope things get better next year.","Workload"
"S0009","My supervisor and I don't agree on the direction of my research. And burnout made me lose interest in my research for a while","Supervision"
"S0017","To be honest, I feel nervous asking my supervisor for help. On top of that, deadlines pile up at the end of every semester. It has been a difficult year.","Supervision"
"S0019","To be honest, there are few chances to meet other postgraduate students.","Isolation"
"S0020","For me, I worry about money more than about my research. On top of that, caring for a sick parent took a lot of my time this year.","Finances"
"S0021","My supervisor is very busy with other students and administration. Otherwise the programme is good.","Supervision"
"S0029","For me, I feel nervous asking my supervisor for help. Otherwise the programme is good.","Supervision"
"S0031","I feel like an outsider in my research group. Some days I think about quitting.","Isolation"
"S0032","My salary was delayed several times, which made everything harder.","Finances"
"S0034","For me, balancing coursework, teaching duties and my thesis leaves me no time to rest. On top of that, my supervisor is hard to reach, and I often feel stuck for weeks.","Workload"
"S0035","Deadlines pile up at the end of every semester. Otherwise the programme is good","Workload"
"S0036","Honestly, I was ill for several weeks and fell behind.","Health"
"S0039","I moved to a new city for my studies and I feel lonely","Isolation"
"S0041","Honestly, my supervisor and I don't agree on the direction of my research. Also, finding reliable sources in my own language was difficult.","Supervision"
"S0042","For me, my supervisor and I don't agree on the direction of my research. On top of that, looking after my children while studying is very difficult. Otherwise the programme is good.","Supervision"
"S0044","I was ill for several weeks and fell behind.","Health"
"S0045","Family events and obligations often interrupt my plans. It has been a difficult year","Family"
"S0046","family events and obligations often interrupt my plans.","Family"
"S0048","Deadlines pile up at the end of every semester. Also, stress has affected my health and I get headaches often.","Workload"
"S0049","To be honest, I drink too much coffee to stay awake. Also, getting ethical approval for my study took much longer than planned. Otherwise the programme is good.","Health"
"S0054","to be honest, managing several assignments at once is exhausting.","Workload"
"S0055","Being far from my family makes the hard days harder. I hope things get better next year.","Isolation"
"S0062","To be honest, meetings with my supervisor are short and I leave with more questions than answers. It has been a difficult year.","Supervision"
"S0065","To be honest, I don't know many people in my department.","Isolation"
