"student_id","biggest_challenge"
"S0001","To be honest, the amount of data collection for my project is overwhelming. It has been a difficult year."
"S0002","I rarely get clear guidance, so I am never sure if I am on the right track. It has been a difficult year."
"S0003","My supervisor and I don't agree on the direction of my research."
"S0005","To be honest, there is simply too much to do and not enough hours in the week. And transport and rent take most of my income."
"S0006","My salary was delayed several times, which made everything harder. On top of that, I don't know many people in my department. It has been a difficult year."
"S0007","The amount of data collection for my project is overwhelming. I hope things get better next year."
"S0008","Balancing coursework, teaching duties and my thesis leaves me no time to rest. Otherwise the programme is good."
"S0009","My supervisor and I don't agree on the direction of my research. And burnout made me lose interest in my research for a while"
"S0010","Being far from my family makes the hard days harder. And managing several assignments at once is exhausting."
"S0011","My supervisor and I don't agree on the direction of my research. I hope things get better next year."
"S0012","There is simply too much to do and not enough hours in the week. Also, I feel nervous asking my supervisor for help."
"S0013","I feel nervous asking my supervisor for help. On top of that, being far from my family makes the hard days harder."
"S0014","Family events and obligations often interrupt my plans. Also, there is simply too much to do and not enough hours in the week"
"S0016","The amount of data collection for my project is overwhelming. I hope things get better next year."
"S0017","To be honest, I feel nervous asking my supervisor for help. On top of that, deadlines pile up at the end of every semester. It has been a difficult year."
"S0018","To be honest, burnout made me lose interest in my research for a while."
"S0019","To be honest, there are few chances to meet other postgraduate students."
"S0020","For me, I worry about money more than about my research. On top of that, caring for a sick parent took a lot of my time this year."
"S0021","My supervisor is very busy with other students and administration. Otherwise the programme is good."
"S0022","The amount of data collection for my project is overwhelming. Otherwise the programme is good."
"S0023","I work late most nights just to keep up with the reading. I hope things get better next year."
"S0024","For me, my supervisor changed the focus of my thesis twice, which set me back. On top of that, balancing coursework, teaching duties and my thesis leaves me no time to rest."
"S0025","Burnout made me lose interest in my research for a while. Also, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0026","For me, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0027","Caring for a sick parent took a lot of my time this year. On top of that, balancing coursework, teaching duties and my thesis leaves me no time to rest."
"S0028","Finding participants for my data collection was a real problem. I hope things get better next year."
"S0029","For me, I feel nervous asking my supervisor for help. Otherwise the programme is good."
"S0030","Honestly, meetings with my supervisor are short and I leave with more questions than answers. On top of that, my family needs me at home and I feel guilty spending time on my thesis."
"S0031","I feel like an outsider in my research group. Some days I think about quitting."
"S0032","My salary was delayed several times, which made everything harder."
"S0033","Research can be a lonely process, and I miss working with others. And I drink too much coffee to stay awake."
"S0034","For me, balancing coursework, teaching duties and my thesis leaves me no time to rest. On top of that, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0035","Deadlines pile up at the end of every semester. Otherwise the programme is good"
"S0036","Honestly, I was ill for several weeks and fell behind."
"S0037","My supervisor is very busy with other students and administration. I hope things get better next year."
"S0039","I moved to a new city for my studies and I feel lonely"
"S0040","Managing several assignments at once is exhausting. Also, anxiety about my progress keeps me awake at night"
"S0041","Honestly, my supervisor and I don't agree on the direction of my research. Also, finding reliable sources in my own language was difficult."
"S0042","For me, my supervisor and I don't agree on the direction of my research. On top of that, looking after my children while studying is very difficult. Otherwise the programme is good."
"S0044","I was ill for several weeks and fell behind."
"S0045","Family events and obligations often interrupt my plans. It has been a difficult year"
"S0046","family events and obligations often interrupt my plans."
"S0047","My supervisor and I don't agree on the direction of my research."
"S0048","Deadlines pile up at the end of every semester. Also, stress has affected my health and I get headaches often."
"S0049","To be honest, I drink too much coffee to stay awake. Also, getting ethical approval for my study took much longer than planned. Otherwise the programme is good."
"S0050","For me, balancing coursework, teaching duties and my thesis leaves me no time to rest. I hope things get better next year."
"S0051","Honestly, buying books and paying for conferences is expensive. And administrative procedures at the university are slow and confusing"
"S0052","I study every weekend and still feel behind. Otherwise the programme is good."
"S0053","I feel tired all the time and find it hard to concentrate."
"S0054","to be honest, managing several assignments at once is exhausting."
"S0055","Being far from my family makes the hard days harder. I hope things get better next year."
"S0056","For me, I had to take a second job to pay for my studies. Also, my supervisor is hard to reach, and I often feel stuck for weeks."
"S0057","Being far from my familly makes the hard days harder."
"S0058","honestly, my scholarship does not cover my living costs. Also, I work alone most of the time and have no one to discuss ideas with. I hope things get better next year"
"S0059","I feel nervous asking my supervisor for help."
"S0061","Honestly, caring for a sick parent took a lot of my time this year."
"S0062","To be honest, meetings with my supervisor are short and I leave with more questions than answers. It has been a difficult year."
"S0063","For me, my family needs me at home and I feel guilty spending time on my thesis. It has been a difficult year."
"S0064","There is simply too much to do and not enough hours in the week."
"S0065","To be honest, I don't know many people in my department."
"S0066","Honestly, balancing coursework, teaching duties and my thesis leaves me no time to rest. It has been a difficult year"
"S0067","I study every weekend and still feel behind. On top of that, my family does not really understand why a postgraduate degree takes so long."
"S0068","There are few chances to meet other postgraduate students."
"S0069","My supervisor changed the focus of my thesis twice, which set me back. Otherwise the programme is good."
"S0070","to be honest, administrative procedures at the university are slow and confusing. Otherwise the programme is good."
"S0071","To be honest, my family does not really understand why a postgraduate degree takes so long."
"S0072","My supervisor is hard to reach, and I often feel stuck for weeks. Some days I think about quitting."
"S0073","Balancing coursework, teaching duties and my thesis leaves me no time to rest"
"S0074","To be honest, my supervisor is very busy with other students and administration"
"S0076","For me, it is hard to find a quiet place to study at home. And research can be a lonely process, and I miss working with others. It has been a dificult year."
"S0077","Honestly, I feel nervous asking my supervisor for help."
"S0078","Honestly, balancing family responsibilities with research is my biggest challenge."
"S0079","Honestly, the amount of data collection for my project is overwhelming. It has been a difficult year."
"S0080","Honestly, I wait a long time for feedback on my chapters, sometimes more than a month."
"S0081","Frequent power cuts made it hard to work in the evenings. Also, my supervisor and I don't agree on the direction of my research. Otherwise the programme is good."
"S0082","To be honest, looking after my children while studying is very difficult. I hope things get better next year."
"S0085","Honestly, my supervisor and I don't agree on the direction of my research. And writing the literature review took far longer than I expected."
"S0087","I feel nervous asking my supervisor for help."
"S0088","I work alone most of the time and have no one to discuss ideas with. It has been a difficult year."
"S0089","For me, I work late most nights just to keep up with the reading. Otherwise the programme is good."
