"student_id","biggest_challenge"
"S0001","Combining coursework, working in an office and my thesis leaves me no time to rest."
"S0002","Honestly, the direction of my thesis changed twice after comments from my supervisor."
"S0003","Nobody tells me whether my work is good enough until it is too late."
"S0005","I work late almost every night just to keep up. On top of that, money is tight."
"S0006","most of my income goes on tuition fees. Besides that, I work alone all the time. Things are slowly improving."
"S0007","I would say I underestimated how much work a thesis is. Things are slowly improving."
"S0008","The data collection for my project turned out to be enormous. It has been a hard year."
"S0009","I was assigned a supervisor from a different field who does not know my topic well. I have started to rely on friends for advice instead. On top of that, stress gives me insomnia."
"S0010","I moved to a city where I know no one for my studies and I feel lonely. And I never have enough time."
"S0011","Our meetings are rushed and I leave with more questions than answers."
"S0012","I work late almost every night just to keep up. Besides that, my supervisor and I do not always agree."
"S0013","It is difficult to get my two supervisors to agree on anything. On top of that, I feel lonely here."
"S0014","The biggest one is that I am the only one at home who can drive, so my days are full of errands. And the workload is heavy."
"S0016","For me, I have to finish my literature review and two assignments before the end of the month. Things are slowly improving."
"S0017","Supervisor."
"S0018","I started having stomach problems in my second semester."
"S0019","The other students already knew each other when I arrived. Online meetings do not replace having people around."
"S0020","I worry about money more than about my research. On top of that, my family needs me. I am coping, but only just"
"S0021","I never really know what my supervisor expects from me."
"S0022","I work late almost every night just to keep up."
"S0023","I have to finish my proposal and two assignments before the end of the month. Some weeks I study more than sixty hours. It has been a hard year."
"S0024","lack of supervision"
"S0025","I feel exhausted even after the holidays. Also, the feedback on my work is slow. I am coping, but only just."
"S0026","I would say I never really know what my supervisor expects from me. Sometimes I rewrite the same section again and again without knowing if it is right. Things are slowly improving."
"S0027","when my father was in hospital I missed a whole month of work. And the workload is heavy."
"S0028","My laptop broke in the middle of the semester and I lost some files."
"S0029","To be honest, I was assigned a supervisor from a different field who does not know my topic well. Other students in my group seem to get much more attention. I hope next year is better."
"S0030","Our meetings are rushed and I leave with more questions than answers. Plus home is not a quiet place to study."
"S0031","Research is a lonely process and I miss working with others."
"S0032","Definitely my funding ends before my thesis will be finished."
"S0033","I moved to the capital for my studies and I feel lonely. Online meetings do not replace having people around. And I am always tired."
"S0034","Every deadline seems to fall in the same few weeks. Also, the feedback on my work is slow. The wellbeing workshop helped a little"
"S0035","There is simply too much to do and never enough time."
"S0036","Stress has affected my health and I get insomnia often. I finally went to the counselling service, which helped. I hope next year is better."
"S0037","Nobody tells me whether my work is good enough until it is too late."
"S0039","I would say I miss home, especially during exams."
"S0040","Managing several assignments at the same time is exhausting. Besides that, I am always tired. Otherwise the programme is fine."
"S0041","Feedback from my supervisor."
"S0042","Getting feedback on my draft took over a month, and by then I had lost momentum. Also, home is not a quiet place to study."
"S0044","Probably burnout made me lose interest in my research for a while."
"S0045","Balancing family responsibilities with research is my biggest challenge"
"S0046","Definitely when my younger brother was in hospital I missed a whole month of work. It has been a hard year."
"S0047","Nobody tells me whether my work is good enough until it is too late. Otherwise the programme is fine."
"S0048","Combining coursework, my job at a school and my thesis leaves me no time to rest. And my mental health has suffered. Things are slowly improving."
"S0049","I stopped exercising and I can feel the difference. The doctor told me to slow down, but I do not see how. On top of that, the university paperwork is slow. Things are slowly improving."
"S0050","Teaching duties take up most of the week, so my own research always comes last."
"S0051","I worry about money more than about my research. On top of that, statistics is hard for me."
"S0052","The data collection for my project turned out to be enormous."
"S0053","My mental health has been up and down all year. Some mornings I cannot get out of bed."
"S0054","There is simply too much to do and never enough time"
"S0055","being far from my family makes the bad days worse. I hope next year is better."
"S0056","I had to take a part-time job to pay for my studies. Also, I get little guidance."
"S0057","I feel like an outsider in my research group. Weeks can pass without a real conversation about my work. It has been a hard year."
"S0058","Paying rent while supporting myself is a constant worry. On top of that, I feel lonely here. Otherwise the programme is fine."
