"student_id","biggest_challenge","theme"
"S0006","most of my income goes on tuition fees. Besides that, I work alone all the time. Things are slowly improving.","Finances"
"S0007","I would say I underestimated how much work a thesis is. Things are slowly improving.","Workload"
"S0009","I was assigned a supervisor from a different field who does not know my topic well. I have started to rely on friends for advice instead. On top of that, stress gives me insomnia.","Supervision"
"S0017","Supervisor.","Supervision"
"S0019","The other students already knew each other when I arrived. Online meetings do not replace having people around.","Isolation"
"S0020","I worry about money more than about my research. On top of that, my family needs me. I am coping, but only just","Finances"
"S0021","I never really know what my supervisor expects from me.","Supervision"
"S0029","To be honest, I was assigned a supervisor from a different field who does not know my topic well. Other students in my group seem to get much more attention. I hope next year is better.","Supervision"
"S0031","Research is a lonely process and I miss working with others.","Isolation"
"S0032","Definitely my funding ends before my thesis will be finished.","Finances"
"S0034","Every deadline seems to fall in the same few weeks. Also, the feedback on my work is slow. The wellbeing workshop helped a little","Workload"
"S0035","There is simply too much to do and never enough time.","Workload"
"S0036","Stress has affected my health and I get insomnia often. I finally went to the counselling service, which helped. I hope next year is better.","Health"
"S0039","I would say I miss home, especially during exams.","Isolation"
"S0041","Feedback from my supervisor.","Supervision"
"S0042","Getting feedback on my draft took over a month, and by then I had lost momentum. Also, home is not a quiet place to study.","Supervision"
"S0044","Probably burnout made me lose interest in my research for a while.","Health"
"S0045","Balancing family responsibilities with research is my biggest challenge","Family"
"S0046","Definitely when my younger brother was in hospital I missed a whole month of work. It has been a hard year.","Family"
"S0048","Combining coursework, my job at a school and my thesis leaves me no time to rest. And my mental health has suffered. Things are slowly improving.","Workload"
"S0049","I stopped exercising and I can feel the difference. The doctor told me to slow down, but I do not see how. On top of that, the university paperwork is slow. Things are slowly improving.","Health"
"S0054","There is simply too much to do and never enough time","Workload"
"S0055","being far from my family makes the bad days worse. I hope next year is better.","Isolation"
"S0062","I feel uncomfortable asking my supervisor for help.","Supervision"
"S0065","Since moving to a new city I have spent most evenings alone. Online meetings do not replace having people around","Isolation"
"S0066","I work late almost every night just to keep up.","Workload"
"S0067","The reading list alone would take a year to get through. And I look after a toddler.","Workload"
"S0068","I miss home, especially during exams. Online meetings do not replace having people around.","Isolation"
"S0071","After my baby was born I could not keep a study routine. Childcare is expensive and not always available","Family"
"S0076","Balancing family responsibilities with research is my biggest challenge. My partner helps, but it is still a struggle. Also, I work alone all the time.","Family"
"S0077","The direction of my thesis changed twice after comments from my supervisor. Sometimes I rewrite the same section again and again without knowing if it is right.","Supervision"
"S0079","Teaching duties take up most of the week, so my own research always comes last. I hope next year is better.","Workload"
"S0080","My supervisor went on leave for a semester and I was left on my own. I am afraid to complain because I depend on their support","Supervision"
"S0081","learning statistics for my analysis was harder than I expected. On top of that, I get little guidance.","Other"
"S0087","Probably my supervisor has too many students to give each of us proper time.","Supervision"
"S0088","I hardly know anyone in my department.","Isolation"
"S0093","The comments I get are very brief, so I have to guess what to fix. Sometimes I rewrite the same section again and again without knowing if it is right.","Supervision"
"S0103","My supervisor has too many students to give each of us proper time. And my familly needs me.","Supervision"
"S0105","I underestimated how much work a thesis is. Planning helps a little, but there is still too much. Plus I sleep badly. Otherwise the programme is fine","Workload"
"S0110","I worry about money more than about my research. I feel embarrassed to talk about it with other students.","Finances"
"S0111","Writing my literature review took far longer than I planned. And I do not have friends in the department. I am coping, but only just.","Workload"
"S0112","I have to finish my methods chapter and two assignments before the end of the month","Workload"
"S0113","Balancing family responsibilities with research is my biggest challenge.","Family"
"S0114","Burnout made me lose interest in my research for a while. I hope next year is better.","Health"
"S0115","I was ill for several weeks and fell behind.","Health"
"S0118","no friends here","Isolation"
